* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam L.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: Llysian Diva - 250m - Blue Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
1250.000000	70.071
1265.000000	70.162
1280.000000	70.242
1315.000000	70.414
1320.000000	70.436
1340.000000	70.525
1360.000000	70.609
1380.000000	70.689
1400.000000	70.767
1430.000000	70.875
1450.000000	70.944
1475.000000	71.026
1500.000000	71.106
1525.000000	71.182
1550.000000	71.256
1575.000000	71.330
1600.000000	71.410
1625.000000	71.509
1650.000000	71.614
1675.000000	71.719
1700.000000	71.821
1725.000000	71.923
1750.000000	72.024
1775.000000	72.124
1800.000000	72.223
1825.000000	72.321
1850.000000	72.420
1875.000000	72.517
1900.000000	72.614
1925.000000	72.711
1950.000000	72.809
1975.000000	72.905
2000.000000	73.001
2030.000000	73.111
2060.000000	73.221
2090.000000	73.331
2120.000000	73.442
2140.000000	73.518
2180.000000	73.671
2200.000000	73.749
2240.000000	73.908
2270.000000	74.029
2300.000000	74.152
2330.000000	74.276
2360.000000	74.401
2400.000000	74.566
2430.000000	74.687
2470.000000	74.840
2500.000000	74.945
2540.000000	75.067
2580.000000	75.163
2620.000000	75.230
2650.000000	75.261
2690.000000	75.274
2720.000000	75.265
2760.000000	75.231
2800.000000	75.179
2850.000000	75.096
2900.000000	75.002
2950.000000	74.907
3000.000000	74.814
3040.000000	74.746
3070.000000	74.699
3110.000000	74.641
3150.000000	74.588
3200.000000	74.529
3250.000000	74.478
3300.000000	74.432
3350.000000	74.388
3400.000000	74.346
3450.000000	74.303
3500.000000	74.264
3550.000000	74.229
3600.000000	74.208
3650.000000	74.206
3700.000000	74.228
3750.000000	74.277
3820.000000	74.388
3870.000000	74.492
3950.000000	74.689
4000.000000	74.822
4060.000000	74.979
4120.000000	75.126
4180.000000	75.258
4250.000000	75.379
4310.000000	75.446
4370.000000	75.472
4440.000000	75.442
4500.000000	75.359
4550.000000	75.249
4620.000000	75.037
4680.000000	74.802
4750.000000	74.476
4820.000000	74.105
4870.000000	73.820
4940.000000	73.403
5000.000000	73.033
5080.000000	72.527
5150.000000	72.089
5220.000000	71.667
5300.000000	71.210
5380.000000	70.785
5450.000000	70.443
5520.000000	70.131
5600.000000	69.811
5700.000000	69.466
5800.000000	69.181
5900.000000	68.951
6000.000000	68.777
6080.000000	68.671
6150.000000	68.586
6220.000000	68.523
6300.000000	68.497
6400.000000	68.540
6500.000000	68.621
6600.000000	68.719
6700.000000	68.827
6800.000000	68.940
6900.000000	69.050
7000.000000	69.153
7100.000000	69.250
7200.000000	69.339
7300.000000	69.411
7400.000000	69.457
7500.000000	69.474
7620.000000	69.456
7750.000000	69.390
7880.000000	69.279
8000.000000	69.116
8120.000000	68.855
8250.000000	68.523
8380.000000	68.175
8500.000000	67.851
8620.000000	67.536
8750.000000	67.213
8850.000000	66.982
9000.000000	66.669
9120.000000	66.451
9250.000000	66.255
9380.000000	66.109
9500.000000	66.023
9620.000000	65.984
9750.000000	66.000
9880.000000	66.066
10000.000000	66.161
10150.000000	66.272
10300.000000	66.227
10440.000000	66.011
10600.000000	65.849
10750.000000	66.116
10900.000000	66.776
11060.000000	67.702
11200.000000	68.560
11380.000000	69.565
11500.000000	70.077
11720.000000	70.486
11800.000000	70.441
12060.000000	69.695
12200.000000	69.052
12410.000000	68.022
12500.000000	67.599
12650.000000	66.950
12800.000000	66.410
13150.000000	65.569
13200.000000	65.479
13400.000000	65.102
13600.000000	64.605
13800.000000	63.961
14000.000000	63.228
14300.000000	62.081
14500.000000	61.314
14750.000000	60.334
15000.000000	59.246
15250.000000	57.881
15500.000000	56.091
15750.000000	54.206
16000.000000	53.307
16250.000000	54.371
16500.000000	54.630
16750.000000	52.820
17000.000000	56.781
17250.000000	61.296
17500.000000	63.174
17750.000000	61.303
18000.000000	57.979
18250.000000	54.993
18500.000000	52.329
18750.000000	49.569
19000.000000	46.375
19250.000000	42.596
19500.000000	38.319
19750.000000	33.862
