* Measurement data measured by REW V5.20.14
* Source: EQ Objectively Neutral IE Tar Filtered
* Format: 
* Dated: Aug 25, 2024 10:19:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -23.0 dB
* Note: Measurement imported from /Users/sharuraudio/Downloads/Objectively Neutral IE Target.txt Format: Comma/Tab/Space delimited data 177 values loaded, 20 Hz to 20,000 Hz  PK       Fc    2000 Hz  Gain  -2.50 dB  Q  2.000 PK       Fc    2700 Hz  Gain  -3.00 dB  Q  2.000 HS Q     Fc    4000 Hz  Gain   1.80 dB Q  0.700 PK       Fc   750.0 Hz  Gain  -0.80 dB  Q  2.000 PK       Fc    3170 Hz  Gain  -0.30 dB  Q  2.000
* Measurement: EQ Objectively Neutral IE Tar
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
327.452816 59.896
327.702816 59.896
327.952816 59.895
328.202816 59.895
328.452816 59.894
328.702816 59.893
328.952816 59.893
329.202816 59.892
329.452816 59.891
329.702816 59.891
329.952816 59.890
330.202816 59.889
330.452816 59.888
330.702816 59.888
330.952816 59.887
331.202816 59.886
331.452816 59.886
331.702816 59.885
331.952816 59.884
332.202816 59.884
332.452816 59.883
332.702816 59.882
332.952816 59.881
333.202816 59.881
333.452816 59.880
333.702816 59.879
333.952816 59.879
334.202816 59.878
334.452816 59.877
334.702816 59.876
334.952816 59.876
335.202816 59.875
335.452816 59.874
335.702816 59.874
335.952816 59.873
336.202816 59.872
336.452816 59.872
336.702816 59.871
336.952816 59.871
337.202816 59.870
337.452816 59.870
337.702816 59.869
337.952816 59.869
338.202816 59.868
338.452816 59.868
338.702816 59.867
338.952816 59.867
339.202816 59.867
339.452816 59.866
339.702816 59.866
339.952816 59.865
340.202816 59.865
340.452816 59.865
340.702816 59.864
340.952816 59.864
341.202816 59.863
341.452816 59.863
341.702816 59.863
341.952816 59.862
342.202816 59.862
342.452816 59.862
342.702816 59.861
342.952816 59.861
343.202816 59.861
343.452816 59.860
343.702816 59.860
343.952816 59.860
344.202816 59.859
344.452816 59.859
344.702816 59.859
344.952816 59.858
345.202816 59.858
345.452816 59.858
345.702816 59.857
345.952816 59.857
346.202816 59.857
346.452816 59.857
346.702816 59.856
346.952816 59.856
347.202816 59.856
347.452816 59.856
347.702816 59.855
347.952816 59.855
348.202816 59.855
348.452816 59.855
348.702816 59.854
348.952816 59.854
349.202816 59.854
349.452816 59.854
349.702816 59.853
349.952816 59.853
350.202816 59.853
350.452816 59.853
350.702816 59.853
350.952816 59.852
351.202816 59.852
351.452816 59.852
351.702816 59.852
351.952816 59.852
352.202816 59.851
352.452816 59.851
352.702816 59.851
352.952816 59.851
353.202816 59.851
353.452816 59.850
353.702816 59.850
353.952816 59.850
354.202816 59.850
354.452816 59.850
354.702816 59.850
354.952816 59.849
355.202816 59.849
355.452816 59.849
355.702816 59.849
355.952816 59.849
356.202816 59.849
356.452816 59.848
356.702816 59.848
356.952816 59.848
357.202816 59.848
357.452816 59.848
357.702816 59.848
357.952816 59.847
358.202816 59.847
358.452816 59.847
358.702816 59.847
358.952816 59.847
359.202816 59.847
